name,symbol
NIFTY IT - Products, ^NIFTYITPROD
NIFTY IT - Services, ^NIFTYITSERV
NIFTY Realty - Residential, ^NIFTYREALTYRESI
NIFTY Consumption, ^NIFTYCONS
NIFTY FMCG - Discretionary, ^NIFTYFMCGDISC
NIFTY FMCG - Staples, ^NIFTYFMCGSTAPLES
NIFTY Energy, ^NIFTYENERGY
NIFTY Pharma - BioTechnology, ^NIFTYPHARMA-BIO
NIFTY PSU Bank - CPSE, ^NIFTY PSUCPSE
NIFTY Financial Services - Ex Bank, ^NIFTYFINEXBANK
NIFTY Financial Services, ^NIFTYFINSERV
NIFTY Media & Entertainment, ^NIFTYMEDIA
NIFTY Services Sector, ^NIFTYSERV
NIFTY Commodities, ^NIFTYCOM
NIFTY Healthcare Consumption, ^NIFTYHEALTHCARE
NIFTY FMCG Consumption, ^NIFTYFMCGCONS
NIFTY CPSE, ^NIFTYCPSE
NIFTY Infrastructure, ^NIFTYINFRA
NIFTY Midcap 50, ^NIFTYMIDCAP50
NIFTY Next 50, ^NIFTYNEXT50
NIFTY Private Bank, ^BANKNIFTY
NIFTY Oil and Gas, ^CNXENERGY
NIFTY Consumer Durables, ^CNXCONS
NIFTY Realty, ^CNXREALTY
NIFTY IT, ^CNXIT
NIFTY Pharma, ^CNXPHARMA
NIFTY Metal, ^CNXMETAL
NIFTY Media, ^CNXMEDIA
NIFTY FMCG, ^CNXFMCG
NIFTY FINANCE, ^NIFTYFIN
NIFTY BANK, ^NSEBANK
NIFTY AUTO, ^CNXAUTO
NIFTY 50, ^NSEI
