name,symbol
RBLBANK, RBLBANK.NS
INDUSINDBK, INDUSINDBK.NS
NATCOPHARM, NATCOPHARM.NS
AEGISCHEM, AEGISCHEM.NS
CASTROLIND, CASTROLIND.NS
GUJGASLTD, GUJGASLTD.NS
HINDPETRO, HINDPETRO.NS
CIPLA, CIPLA.NS
IGL, IGL.NS
MGL, MGL.NS
ONGC, ONGC.NS
PETRONET, PETRONET.NS
RELIANCE, RELIANCE.NS
IDFCFIRSTB, IDFCFIRSTB.NS
PNB, PNB.NS
SBIN, SBIN.NS
KOTAKBANK, KOTAKBANK.NS
BANDHANBNK, BANDHANBNK.NS
AXISBANK, AXISBANK.NS
RAJESHEXPO, RAJESHEXPO.NS
KALYANKJIL, KALYANKJIL.NS
VGUARD, VGUARD.NS
VOLTAS, VOLTAS.NS
TITAN, TITAN.NS
ITC, ITC.NS
ADANIPORTS, ADANIPORTS.NS
BAJAJFINSV, BAJAJFINSV.NS
HINDUNILVR, HINDUNILVR.NS
SOBHA, SOBHA.NS
MAHLIFE, MAHLIFE.NS
LODHA, LODHA.NS
DLF, DLF.NS
BRIGADE, BRIGADE.NS
DISHTV, DISHTV.NS
NAZARA, NAZARA.NS
TV18BRDCST, TV18BRDCST.NS
TIPSINDLTD, TIPSINDLTD.NS
ZEEL, ZEEL.NS
SUNTV, SUNTV.NS
TECHM, TECHM
LTTS, LTTS
INFY, INFY.NS
TCS, TCS.NS
HCLTECH, HCLTECH.NS
BHARATFORG, BHARATFORG
MOTHERSON, MOTHERSON.NS
BAJAJ-AUTO, BAJAJ-AUTO.NS
HEROMOTOCO, HEROMOTOCO.NS
WIPRO, WIPRO.NS
ICICI BANK, ICICIBANK.NS
MARUTI, MARUTI.NS
TATAMOTORS, TATAMOTORS.NS
